cycle,range_bin,doppler_bin,output_hex
1307955000,36,20,fe8bfe02
1307965000,36,21,00e401b5
1307975000,36,22,fee8fdca
1307985000,36,23,00b00313
1307995000,36,24,0036fed7
1308005000,36,25,fffaffba
1308015000,36,26,00180128
1308025000,36,27,ff9dfeb2
1308035000,36,28,006000b3
1308045000,36,29,ff4ffffd
1308055000,36,30,0160ff0b
1308065000,36,31,ff5f0172
1313135000,37,0,0185004c
1313145000,37,1,ff30ff87
1313155000,37,2,0111ff4c
1313165000,37,3,ff900247
1313175000,37,4,ffdbfd7a
1313185000,37,5,ffa30207
1313195000,37,6,0087ffa2
1313205000,37,7,fdd8fe2a
1313215000,37,8,030102cc
1313225000,37,9,ff00fe00
1313235000,37,10,00500127
1313245000,37,11,fefeffd4
1313255000,37,12,019d0013
1313265000,37,13,ff1eff1f
1313275000,37,14,008a0140
1313285000,37,15,fe91fef5
1313295000,37,16,01930150
1313305000,37,17,ffccfead
1313315000,37,18,004500e2
1313325000,37,19,ff9eff09
1313335000,37,20,ffcf006a
1313345000,37,21,0139fe17
1313355000,37,22,fd8b0254
1313365000,37,23,029afec4
1313375000,37,24,fe730100
1313385000,37,25,ff78ff24
1313395000,37,26,008e009f
1313405000,37,27,0038ff48
1313415000,37,28,ff150161
1313425000,37,29,009afe7b
1313435000,37,30,01980086
1313445000,37,31,fd410031
1318515000,38,0,011ffee6
1318525000,38,1,ff7a0003
1318535000,38,2,01050118
1318545000,38,3,fefeffc3
1318555000,38,4,00dffef3
1318565000,38,5,fdfd0196
1318575000,38,6,0319fee5
1318585000,38,7,fba9ffb7
1318595000,38,8,041102c5
1318605000,38,9,fdedfdaf
1318615000,38,10,01b601b1
1318625000,38,11,fdebfec1
1318635000,38,12,021a001e
1318645000,38,13,fe7b0076
1318655000,38,14,018eff0d
1318665000,38,15,feb30056
1318675000,38,16,0071ff8a
1318685000,38,17,00fc017d
1318695000,38,18,ff09ff70
1318705000,38,19,ff7cfee5
1318715000,38,20,0103012b
1318725000,38,21,00ebff28
1318735000,38,22,fd0fffcb
1318745000,38,23,027300db
1318755000,38,24,fe37ff97
1318765000,38,25,015dffc1
1318775000,38,26,ff240003
1318785000,38,27,003f004b
1318795000,38,28,00d40040
1318805000,38,29,fec5ffa4
1318815000,38,30,028a006f
1318825000,38,31,fcd5ffec
1323895000,39,0,017d00c5
1323905000,39,1,ffcaffd3
1323915000,39,2,00a5ffdb
1323925000,39,3,fea80039
1323935000,39,4,01a3ff24
1323945000,39,5,fd35016c
1323955000,39,6,01a7ffb1
1323965000,39,7,fde7feea
1323975000,39,8,031d0279
1323985000,39,9,fe64fd44
1323995000,39,10,018702ae
1324005000,39,11,fe5efdfd
1324015000,39,12,01de00cb
1324025000,39,13,fd7e0034
1324035000,39,14,029cffb3
1324045000,39,15,fe9c0148
1324055000,39,16,ff57fdb3
1324065000,39,17,019801e5
1324075000,39,18,00650025
1324085000,39,19,ff46fe45
1324095000,39,20,febdffdc
1324105000,39,21,02d10018
1324115000,39,22,fe07006b
1324125000,39,23,00ef0098
1324135000,39,24,fea3ff13
1324145000,39,25,015a0070
1324155000,39,26,feb70036
1324165000,39,27,fffcff11
1324175000,39,28,008e0079
1324185000,39,29,fefc00c4
1324195000,39,30,02ceff65
1324205000,39,31,fce6ff62
1329275000,40,0,00b10126
1329285000,40,1,ffdbff60
1329295000,40,2,fff10085
1329305000,40,3,fed5ff86
1329315000,40,4,0199ff62
1329325000,40,5,ff260184
1329335000,40,6,0043ff45
1329345000,40,7,ff890192
1329355000,40,8,0168feea
1329365000,40,9,fe60002b
1329375000,40,10,01f70115
1329385000,40,11,fe6cfde0
1329395000,40,12,01c60234
1329405000,40,13,fe00fdbe
1329415000,40,14,01eb005f
1329425000,40,15,fecb01b3
1329435000,40,16,0081fef0
1329445000,40,17,000dff82
1329455000,40,18,0105ffdd
1329465000,40,19,fecd0038
1329475000,40,20,00dd00ea
1329485000,40,21,fe7cfe60
1329495000,40,22,00590107
1329505000,40,23,00b3ff44
1329515000,40,24,fec600c8
1329525000,40,25,0270fe37
1329535000,40,26,fc7b0205
1329545000,40,27,02f2ffa2
1329555000,40,28,ff8cffe0
1329565000,40,29,fe2efeaa
1329575000,40,30,02790201
1329585000,40,31,fde1fe57
1334655000,41,0,003dffa6
1334665000,41,1,003bff88
1334675000,41,2,00edffbe
1334685000,41,3,fe2e0020
1334695000,41,4,0219ff31
1334705000,41,5,fe2f00a1
1334715000,41,6,012fffd8
1334725000,41,7,fe49ffc7
1334735000,41,8,022d014f
1334745000,41,9,fe59fe77
1334755000,41,10,0193012a
1334765000,41,11,fd29fe36
1334775000,41,12,03750254
1334785000,41,13,fd4ffe90
1334795000,41,14,005c0066
1334805000,41,15,00a4fff4
